ID,Severity,Type,Introduced_SHA,Introduced_Date,Fixed_SHA,Fixed_Date,Time_to_Fix_Hours,Files_Affected,Root_Cause,Impact,Lesson
1,CRITICAL,React Hydration,fd22b968,2025-11-08 15:11:40,3949d61a,2025-11-10 09:36:42,48,client/src/pages/components/VoiceOrderModal.tsx,Early return before AnimatePresence wrapper caused server/client DOM mismatch,Complete failure of voice and touch ordering modals,Add SSR/hydration validation to CI pipeline
2,CRITICAL,Infinite Loop,fd22b968,2025-11-08 15:11:40,982c7cd2,2025-11-08 15:28:57,0.3,client/src/hooks/useToast.ts,Hook returned new object reference every render,Infinite loading state causing 100% CPU usage and browser freeze,Add React performance profiler to detect re-render loops
3,HIGH,Race Condition,8f6c6efc,2025-10-10 11:54:14,8d82c65e,2025-10-14 21:28:57,96,client/src/components/kitchen/VirtualizedOrderGrid.tsx,Measured DOM element dimensions before element rendered,Grid mode freeze lasting 991 seconds,Add integration tests for UI mode switching with timeouts
4,CRITICAL,API Blocking,b0729087,2025-10-19 20:35:55,b5e7a5f3,2025-10-14 20:45:57,-120,client/src/services/monitoring/performance.ts,POST to non-existent analytics endpoint with JWT in payload,991-second page hang on production KDS,Add smoke tests and circuit breaker for optional services
5,HIGH,Race Condition,b2902fe2,2025-10-08 13:18:12,e44d074c,2025-10-15 09:53:25,168,client/src/contexts/AuthContext.tsx,Multiple concurrent refresh attempts without concurrency guards,Random WebSocket disconnections and voice ordering failures,Add unit tests for concurrent async operations
6,CRITICAL,Memory Leak,41ec2297,2025-08-14 08:13:29,f9751b31,2025-08-19 22:47:08,120,client/src/modules/voice/services/VoiceSocketManager.ts,WebSocket cleanup callbacks never executing and timers not cleared,Memory growth 50MB/10min leading to browser crash after 2-3 hours,Add memlab for automated memory leak detection
7,HIGH,Memory Leak,21c2582b,2025-09-02 12:16:01,342f946b,2025-09-02 09:15:09,-7,client/src/components/shared/badges/AnimatedStatusBadge.tsx,Nested setTimeout and useEffect without cleanup return,FPS drops from 60 to 30 after 30 minutes,Add ESLint rule requiring cleanup for all timers
8,MEDIUM,React Re-renders,8f6c6efc,2025-10-10 11:54:14,597278eb,2025-10-15 09:46:13,120,client/src/pages/KitchenDisplayOptimized.tsx,Heavy components not memoized and event handlers recreated,UI lag with 2-3 second delays and CPU spikes to 80%,Integrate why-did-you-render and add React.memo guidelines
9,MEDIUM,Race Condition,b2902fe2,2025-10-08 13:18:12,60e76993,2025-10-27 18:51:17,456,client/src/contexts/AuthContext.tsx,Logout cleared React state before firing SIGNED_OUT event,Wrong user displayed after account switching,Add integration tests for rapid account switching
10,HIGH,Bundle Size,Multiple,2025-07-21 00:00:00,8e5c7630,2025-08-25 19:03:57,792,client/vite.config.ts,No code splitting strategy as features added,Initial page load 10+ seconds on 3G networks,Add bundlesize package with 200KB limit per chunk
11,MEDIUM,Build Memory,Multiple,2025-08-20 00:00:00,8c732642,2025-08-25 19:20:19,8,tsconfig.json,TypeScript compiler loading entire codebase without incremental builds,CI builds failing with OOM errors requiring 12GB RAM,Enable TypeScript incremental compilation
